#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
240.0,2687,1818.328621
495.0,2803,1820.707064
250.0,1705,1822.148934
240.0,2155,1823.996069
190.0,1879,1825.602067
115.0,1709,1827.102956
540.0,2873,1829.543562
110.0,1723,1830.993903
145.0,1663,1832.416583
335.0,2349,1834.408809
245.0,2099,1836.199851
310.0,2075,1837.968085
130.0,2313,1845.785192
230.0,2303,1847.746772
225.0,2241,1849.676136
300.0,2095,1851.465136
235.0,2952,1854.000744
195.0,2655,1856.286086
280.0,3055,1858.88328
460.0,2763,1861.201051
130.0,1861,1862.842326
185.0,2085,1864.634397
80.0,1603,1865.996993
125.0,1865,1867.631515
125.0,1693,1869.071079
590.0,3809,1872.297217
290.0,2397,1874.345156
180.0,1989,1876.047798
165.0,1965,1877.755285
365.0,2761,1880.092602
85.0,1551,1881.404467
325.0,2675,1883.717833
260.0,2327,1885.693347
360.0,2811,1888.1092
340.0,2744,1890.472833
170.0,1609,1891.862598
370.0,3697,1895.027293
125.0,1641,1896.42253
245.0,2625,1898.663045
270.0,3289,1901.460132
280.0,3103,1904.087896
195.0,2133,1905.953566
180.0,2129,1907.758984
315.0,2603,1909.979189
330.0,2687,1912.264184
140.0,2547,1914.432812
115.0,1751,1915.936728
305.0,2985,1918.525275
210.0,2169,1920.37568
170.0,1505,1921.649611
130.0,1571,1923.003726
160.0,2193,1924.858976
230.0,2275,1926.824322
215.0,2079,1928.621453
115.0,2143,1930.474268
190.0,1901,1938.537998
255.0,3251,1941.339343
70.0,1233,1942.372984
50.0,1117,1943.329203
115.0,2023,1945.039946
190.0,2197,1946.935746
140.0,1869,1948.539495
